title,price,image_url,item_id,item_url
Premium Wireless Earbuds - Miami Edition,49.99 USD,No Image,v1|110576315189|0,https://cgi.sandbox.ebay.com/itm/Premium-Wireless-Earbuds-Miami-Edition/110576315189?src=urllib&_skw=headphone&hash=item19bedcab35:i:110576315189
AirPods 2nd Generation with Charging Case - White,55.00 USD,http://i.ebayimg.sandbox.ebay.com/images/g/pSAAAOSw~qJnxqul/s-l225.jpg,v1|110575175541|0,https://cgi.sandbox.ebay.com/itm/AirPods-2nd-Generation-with-Charging-Case-White/110575175541?src=urllib&_skw=headphone&hash=item19becb4775:g:pSAAAOSw~qJnxqul
Premium Wireless Earbuds - Miami Edition,49.99 USD,No Image,v1|110576315189|0,https://cgi.sandbox.ebay.com/itm/Premium-Wireless-Earbuds-Miami-Edition/110576315189?src=urllib&_skw=headphone&hash=item19bedcab35:i:110576315189
AirPods 2nd Generation with Charging Case - White,55.00 USD,http://i.ebayimg.sandbox.ebay.com/images/g/pSAAAOSw~qJnxqul/s-l225.jpg,v1|110575175541|0,https://cgi.sandbox.ebay.com/itm/AirPods-2nd-Generation-with-Charging-Case-White/110575175541?src=urllib&_skw=headphone&hash=item19becb4775:g:pSAAAOSw~qJnxqul
Radiator Cooling Fan Assembly for BMW 3 Series 325i 328i 330i E46 17117510617,108.14 USD,No Image,v1|110577834267|0,https://cgi.sandbox.ebay.com/itm/Radiator-Cooling-Fan-Assembly-for-BMW-3-Series-325i-328i-330i-E46-17117510617/110577834267?src=urllib&_skw=fan&hash=item19bef3d91b:i:110577834267
130000RPM Turbo Blower Jet Fan Violent Turbofan Brushless Motor Rechargeable USA,22.69 USD,http://i.ebayimg.sandbox.ebay.com/images/g/8rkAAOSw~ItntpY4/s-l225.jpg,v1|110571451126|0,https://cgi.sandbox.ebay.com/itm/130000RPM-Turbo-Blower-Jet-Fan-Violent-Turbofan-Brushless-Motor-Rechargeable-USA/110571451126?src=urllib&_skw=fan&hash=item19be9272f6:g:8rkAAOSw~ItntpY4
"42"" Stainless Steel LED Chandelier 3-Color Light Remote Reversible Ceiling Fans",149.99 USD,http://i.ebayimg.sandbox.ebay.com/images/g/aFgAAOSwwetnxY-b/s-l225.jpg,v1|110574795164|0,https://cgi.sandbox.ebay.com/itm/42-Stainless-Steel-LED-Chandelier-3-Color-Light-Remote-Reversible-Ceiling-Fans/110574795164?src=urllib&_skw=fan&hash=item19bec5799c:g:aFgAAOSwwetnxY-b
"42"" Stainless Steel LED Chandelier 3-Color Light Remote Reversible Ceiling Fans",149.99 USD,http://i.ebayimg.sandbox.ebay.com/images/g/f1wAAOSw5rxnxY-0/s-l225.jpg,v1|110574795166|0,https://cgi.sandbox.ebay.com/itm/42-Stainless-Steel-LED-Chandelier-3-Color-Light-Remote-Reversible-Ceiling-Fans/110574795166?src=urllib&_skw=fan&hash=item19bec5799e:g:f1wAAOSw5rxnxY-0
"13 Row Trust Oil Cooler Thermostat Sandwich Plate Kit+7"" Electric cooling Fan",111.78 USD,No Image,v1|110571452113|0,https://cgi.sandbox.ebay.com/itm/13-Row-Trust-Oil-Cooler-Thermostat-Sandwich-Plate-Kit-7-Electric-cooling-Fan/110571452113?src=urllib&_skw=fan&hash=item19be9276d1:i:110571452113
"Cold Case Radiators Aluminum Performance Radiator 20"" With 16"" Fan Manual Tra...",555.45 USD,No Image,v1|110575804141|0,https://cgi.sandbox.ebay.com/itm/Cold-Case-Radiators-Aluminum-Performance-Radiator-20-With-16-Fan-Manual-Tra/110575804141?src=urllib&_skw=fan&hash=item19bed4deed:i:110575804141
Cold Case Radiators Aluminum Performance Radiator And Fan Kit Bronco 1966-1977,604.45 USD,No Image,v1|110577325965|0,https://cgi.sandbox.ebay.com/itm/Cold-Case-Radiators-Aluminum-Performance-Radiator-And-Fan-Kit-Bronco-1966-1977/110577325965?src=urllib&_skw=fan&hash=item19beec178d:i:110577325965
Radiator Cooling Fan Assembly for BMW 3 Series 325i 328i 330i E46 17117510617,108.14 USD,No Image,v1|110577827934|0,https://cgi.sandbox.ebay.com/itm/Radiator-Cooling-Fan-Assembly-for-BMW-3-Series-325i-328i-330i-E46-17117510617/110577827934?src=urllib&_skw=fan&hash=item19bef3c05e:i:110577827934
