Query,Title,Link,Image URL,num_reviews
laptop,"Dell Latitude Business 13.3"" FHD Core i5 Laptop Windows 11 16GB RAM 256GB SSD",https://www.ebay.com/itm/283987164379?_skw=laptop&epid=5031559411&itmmeta=01JPR80K1T15PH3TSQQ9GQP2YP&hash=item421ef43cdb:g:a6MAAOSwMoBnzvpt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c%2BTdFWmjl94kRE9ivahqgKE3iYsoulFWIWKD6Ymn4cn83k2w1mnbPKkiKElWBz%2FN%2FgcXIa9N5Z28laGAfUfhO01MX3gaDDMzOas356VbzLhfSe8ETdbZBhJlP2uwjAlMftcJF4uWSrA36c2ymz51DD2uSfz%2BrKgJw%2FUOjc2gvoDtW88KX6zS05eJpSwy72NM7z6GkjD6XX5oI%2F8SHj1%2FLFFSRtfI4jiz1cOl9UKJafSX2T0JcCsUEgilSAASGgv7VZ%2FW7hTqSrKFmIxyBp%2FcRk%7Ctkp%3ABk9SR6qxgoi2ZQ,https://i.ebayimg.com/images/g/a6MAAOSwMoBnzvpt/s-l500.webp,15
laptop,"DELL Latitude 5490 Laptop Intel Core i5-8350U 16GB RAM 256GB SSD 14"" W11P",https://www.ebay.com/itm/387872855554?_skw=laptop&epid=27009952656&itmmeta=01JPR80K1TV4R97HBB9V38SCP2&hash=item5a4f061602:g:oG0AAeSw2sBnmpq5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1deGG6oG4dD468%2ByGR7eLhEHEgpn5PfiKm4W1eXxXH5VJfFcEZCWgCNo5IchyUiODDWUUTHw%2Fv7Xr6cugbEVO2bxqLA5rtnezds%2Fr2Kl0PUa9HmjzFfRoO%2BLLItYhVNWhBst17Mme%2Fbs%2FKR0R5alyU5A%2BOe1CYwbHp63AoEZhRiPjgYhPj3WooDxpSTzZRmsC4%2FuYiStDccEJzWgIx3fsAwy%2FuQHKpuY3Zx9KlrouMcq1siUmg%2FSiKCZ%2FiAc0s0J26r6OSg586bU1NckJGzc%2FGg%7Ctkp%3ABk9SR6qxgoi2ZQ,https://i.ebayimg.com/images/g/oG0AAeSw2sBnmpq5/s-l500.webp,1
phones,Google Pixel 7a | 7 | 7 Pro - 128GB 256GB 512GB - Unlocked - Smartphone,https://www.ebay.com/itm/186577116952?_skw=phones&epid=8074111125&itmmeta=01JPR8103MHQKSQ2N79739E0JW&hash=item2b70dcdf18:g:SMoAAOSw9NZmmrFS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dj38AA8Ry6J0%2Foj8aSnsq7omthsqC7%2Fll16kv9mLfBxFAqfTMdHKG3YmIal1uAddXUqSOCenl7ZHAR5ZUoB8l8BybBTC5xua%2BizzqwsOiBgBq3UC3pwliB6187G9%2BICBr%2F7tBxQ0dViteg1Q%2BmTwxjtkArsau642Tr2e2k8x5VNDTq1iYDEq3p64t2XhOyUYa5EmRORjGqgo06h0jXKGEyNpfm8YNX3PaupyXvBu0zawksNVvM9XGHRqNAGRQEk6IjXPVBkem9pzq42oIohU8K%7Ctkp%3ABFBMsISEiLZl,https://i.ebayimg.com/images/g/SMoAAOSw9NZmmrFS/s-l500.webp,15
phones,Brand New Sealed - Razer Phone 2 - 64 GB - Mirror Black (Unlocked),https://www.ebay.com/itm/267191983313?_skw=phones&epid=3024736672&itmmeta=01JPR8103MFYA1J7ZTZDG5FX6J&hash=item3e35e21cd1:g:6zsAAOSwOqhnyhME&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1epzh0F5kK5Cxb9L9e%2BOZM9Z2L0GGrIMrCHXMwjYOpX6VsWhlQ4qo%2BXrDOy3lAi03gisYuXBSahCdGHHkcalAGOR1vl9grqV3ObJ%2BWgKzyoULvhSALgYndGHFGMK4xXQLW8oVT%2B7OP0gvV86oGphPbZsLGMhcFxrsE1RWU7f1yZx6cs%2BMRjVNWjJ%2BuyHJw6Ff7SC6jnjmdig86N2pfXsQNawOZNeSgYXZstMdmm7YSJ7g%3D%3D%7Ctkp%3ABk9SR7CEhIi2ZQ,https://i.ebayimg.com/images/g/6zsAAOSwOqhnyhME/s-l500.webp,72
phones,Unlocked Samsung Galaxy,https://www.ebay.com/itm/267176577188?_skw=phones&epid=3053006884&itmmeta=01JPR8103MYN2RMW0N2KXJ1TKY&hash=item3e34f708a4:g:9l8AAeSwrbdnxRhk&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ch23hQliI2JzuNxcfg7LYKhT8B2U8O7aicwOERxDzOz0ZuyPotJ4iBZOjNO7qNmNELCa2z3uCixyNOGK2khsWhPNMHGoYaHB%2Bww7eqXrq%2F2yh3k89ILtaHOoNBgTAwUdtdVec9OXCCVYe92OZX3EetwZSua88WGvaUlh6Xv8AWlYX0dvmvzLJrxZLOqCIchKXGIdlg6slfPyMKM0EmXCdwJy4WTmLZOD2YmdjSjpfS%2BE34ysrMUOM1PzxxXAyfhYo%2FKabX29v8Ogrp7UnA4la6%7Ctkp%3ABk9SR7CEhIi2ZQ,https://i.ebayimg.com/images/g/9l8AAeSwrbdnxRhk/s-l500.webp,74
phones,NEW Samsung Galaxy S10+ Plus G975U 128GB Unlocked GSM+CDMA AT&T T-Mobile Verizon,https://www.ebay.com/itm/203580679226?_skw=phones&epid=25071595997&itmmeta=01JPR8103M9GW68FYVEB8863S0&hash=item2f665aa43a:g:S8oAAOSwLxphJqud&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cmYQCME4ACVWOwegeX8uPPfh2t7gwKNpQrZ5Seir6nGMerAHtpckb2aj8N0MI4M055NcTZUjgN8FTFMfsZ1a9qR7SUmqWd7%2BV0HwBHIrJq0cW6b7F5eY8WtM7HYRAQo%2BLXoa8YiZwqO7uyB%2FDo2VE1IV1wI8LkrW3gHOhnoJPjLGgn84C3rF%2FvUDOVSiKchnFFuqJq8ITAdG%2F4cUXMXfhEsqhHCLuVc3ely%2BibT0D%2FW658jl634wyPmTLXRXJETJHYBTWE%2BSiah8gqHIyqHrwU%7Ctkp%3ABFBMsoSEiLZl,https://i.ebayimg.com/images/g/S8oAAOSwLxphJqud/s-l500.webp,4
phones,Samsung Galaxy Note 8 N950U GSM Factory Unlocked 64GB Smartphone - Good,https://www.ebay.com/itm/194300347954?_skw=phones&epid=239011926&itmmeta=01JPR8103MFX1FCNEAM0D387C8&hash=item2d3d340632:g:1P0AAOSwJ3RhH6e2&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eJ%2FlGt%2F3dcMqQjT16ejDEIHGLV6fTs0hm0J%2BirekSaQQACFfWwzZQF7LC2G%2Fa7vb0E%2BemxAJnBgil0PQ0hvClZ9vvRju7Yhtq1ryhq4uH%2BvtgrIWgMHtZlAtoYJOKmXEoDyq9Wezoj48IhISCODWcWZB%2BBVPCvsp40t7nwnNv%2FixONeHQAkR4NnIrgcgbRJookCEZlIMc%2BdVYasqCBlW8rlzOnmWBcUm4XR2meXbzhD9lH0N7oAozDFmFvqXp6hh28j8H14wqf65u90YTOYDSK%7Ctkp%3ABFBMsoSEiLZl,https://i.ebayimg.com/images/g/1P0AAOSwJ3RhH6e2/s-l500.webp,583
phones,"Apple iPhone 5 5C 5S 8GB 16GB 32GB 64GB Unlocked 4G iOS mobilephone, Tested GOOD",https://www.ebay.com/itm/197106871532?_skw=phones&epid=241178513&itmmeta=01JPR8103MHDEC5ANYR1K41H90&hash=item2de47c2cec:g:LksAAOSwY0Nn09NK&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f8IzhdHFtt0y8uXB%2BVJdxmWUiPCG36ShzszlKfz2G2PqrPXsyRTvklPx8XWPM2l%2FevJ2nZS05cwnPh8zZZPQYaa%2BH89yTGmd0DvUiuCN7Zv5%2FFdbE%2FKtAwwHmTSD7J3GfPS8H3cjWfv7uo8QGjeQTetTFYYLLyyVwaZCtQbeq13XRqDeTgMevg3gDnVkpSaL0jGDYfI0Qps2K%2BS3Ri3F3n4LLuZRr9ElRvw2rAug8Wug%3D%3D%7Ctkp%3ABk9SR7KEhIi2ZQ,https://i.ebayimg.com/images/g/LksAAOSwY0Nn09NK/s-l500.webp,9
phones,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Good,https://www.ebay.com/itm/176566107239?_skw=phones&epid=18065004316&itmmeta=01JPR8103NZ6RA3PGQ0SMKF351&hash=item291c28fc67:g:YFcAAOSwTO5m3k4H&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dlR8K1XAtX17fVQtOkP9zt7JaWCo6ycokkil0faWph9etOkmIPirdEK6CUKidHvTecmvQs29Ivhjrx1%2BwkjUrdHqq3BAZyzNVflh%2BdEunVX7gHSGGPEyNAnDCeQey9I93EGOaedfKux61lw2yPIwF34UMIYFbLu5glrT3aZIjKtPcnVDLpIEWqIiuuSzPoQL22x3PDTAboJpz%2Fo2f0QrWr5umT06u5sOo05ruptOvCTH70Rg8NVXle8JtqHZra62%2BgKsZFOdL56qVpQzIt33St%7Ctkp%3ABk9SR7KEhIi2ZQ,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp,1
phones,📱 Apple iPhone 5C 8/16/32GB - Unlocked Multiple Colors Grade A IOS10📱,https://www.ebay.com/itm/334971128868?_skw=phones&epid=168464981&itmmeta=01JPR8103NGYAD80E9767FRXP0&hash=item4dfdd5cc24:g:ASMAAOSwPA9kyLaB&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ca79H9qFmx7fohuFWgk9M%2BQ6UKFSeGj7zDoZj6O8%2FIgKXG1dKZzE9EOxmDPPqvTSb18zWK5Lmxh%2BU7XAH0kZO%2Bo3ZHJ%2Bc%2B9AzIPMQRdzenxQ7awtJuDE%2FLGfTDgQXhIvxyOyG3m7PSUFqoKr4NTO%2F6ACss5kf3NXqqLBR5nstX7JpFjLPgG%2BZRyQ0Mw%2B41BABzyJ6ptv599PUK9VimFCp86ro2SoEk1I96aIuOI3SQvw%3D%3D%7Ctkp%3ABk9SR7KEhIi2ZQ,https://i.ebayimg.com/images/g/ASMAAOSwPA9kyLaB/s-l500.webp,48
phones,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished,https://www.ebay.com/itm/185698601733?_skw=phones&epid=28043687656&itmmeta=01JPR8103NQVQZS0AGK5CFVHQ6&hash=item2b3c7fcb05:g:8fUAAOSwKQFi5E5W&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eEzFRVyDSEWeayjpVcFiDPGGDtn%2Bkh5uUbCK2vRNMOJmYJbUMcZ3p5NJ1Mh2E6IBU%2FBTkWw3x0IkgAf60d%2B5uNlZ0ncul39PxloBwkZtYxIU7wKRypwAyol%2Fpx7WDpwp0NKMmLxtj9ujZ6ERwGRnNq1vHy3zJB8%2ByCF0RHiEaUTXWk0WEx2atwjfFgRTNPVVuQIq2n9qMPLJ4Ssl8%2FoimBqE8XgfaE2oJ2AC5DFWbXXQ%3D%3D%7Ctkp%3ABk9SR_KEhIi2ZQ,https://i.ebayimg.com/images/g/8fUAAOSwKQFi5E5W/s-l500.webp,279
phones,BLACKBERRY BOLD 9900 UNLOCKED QWERTY CELL PHONE BELL TELUS ROGERS FIDO CHATR+++,https://www.ebay.com/itm/186723452742?_skw=phones&epid=102593238&itmmeta=01JPR8103NT29MRJBX02KAW781&hash=item2b7995c746:g:bZQAAOSwYpFnBlNr&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eOH89GHc%2BWt45W%2F1w8XE7d7rJnWeQaRMWH5eomiSp4PndPGuOUARPVBlIY%2FcXdUGdHws7E9PZInPVIvXDnVPLQPgiuB%2FJj5J%2FdVJrt75INK8fxK%2FglNJVGwJng2Co5nlYxo6dnnWkLlKAnaYqQeQRhMHN3QezMbqLXg5GpLuJpjd5lY%2F7Zva8zw0tzayCJVkfK8zL4BVP7hw%2BJT8KTJYjESFlySRHopvjUoIjUWxbDcA%3D%3D%7Ctkp%3ABk9SR_SEhIi2ZQ,https://i.ebayimg.com/images/g/bZQAAOSwYpFnBlNr/s-l500.webp,157
phones,NEW KAZUNA eTalk F119 4G VoLTE Verizon Flip Phone GSM Unlocked Worldwide,https://www.ebay.com/itm/325469583915?_skw=phones&epid=17033612524&itmmeta=01JPR8103NH3JMX2ZCJ41C9MD2&hash=item4bc77fba2b:g:8hsAAOSweA9joNfR&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c8l%2FKovdsal5NUr4%2F2bTh9xattuc4R7tQqwyvX3RdNYbty49I02FBsbNby3IT1eD%2FTgX%2B5f7E29iyyDBtHNGXS2nH4YehpMzoUH5iouFvJLvEMXK8qyKSy87Oy34OhKuRaZJs%2BzmZPWm%2FFAgEshZgBF9nWDInpG%2FsL8giuHBkqurkQMItXuYiuP4stn23p%2BRg63z7jzZa19ejbm5YwWjMchVyNZa2Ta2woyMx4Q%2B2PdtcJJvSP6cm1BqvfNlLTYjO0iwO4cVh6oGacc23ma%2FdP%7Ctkp%3ABFBM9ISEiLZl,https://i.ebayimg.com/images/g/8hsAAOSweA9joNfR/s-l500.webp,27
phones,Samsung Galaxy S21 Plus S21+ 5G 128GB 256GB Unlocked Phone SM-G996U1 Good,https://www.ebay.com/itm/204179840469?_skw=phones&epid=20043689450&itmmeta=01JPR8103NNRP90GJ9XPPDYMSJ&hash=item2f8a111dd5:g:BIsAAOSw2wZjVwJ~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dnpSsKJEpurb6sE0%2FhoITHNPL5hDZXKkjcQxD6hHFZ33vVkjwlutfxtv1lFP3p28uVPkZWDWcUyDTzRj%2FSa6zuaYf6V5h3poI%2F3s%2FPgzSovsghYAAZ79tDtpyzU5CgaEOHTw4onqwVfp1Z50Z8Zx%2BLzLdSyGTR0nmC%2Bf%2Faf%2B6%2FMyk%2FK%2Bk0xtz9a%2BhPZwOKLFBobP05sSm0PQUtCwhaZCQycJTDIQ7FSakeWDRW0VXE%2FzyjnZDxdtJ69mOYFfjN12xpzXHWemxS7poITi7Ww%2BVQ%7Ctkp%3ABk9SR_SEhIi2ZQ,https://i.ebayimg.com/images/g/BIsAAOSw2wZjVwJ~/s-l500.webp,119
phones,Nokia Lumia 1020 (AT&T) 4G LTE Smartphone - 32GB Black,https://www.ebay.com/itm/305694549335?_skw=phones&epid=168372157&itmmeta=01JPR8103N49A2RMR0WQ8W1BBB&hash=item472cd0a557:g:8IMAAOSwiO9kfgKb&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eT8ZjNFZ4Lt7hqcgDrrSD5%2Bpw8WwgD5xLTFD5GKHz8Pvk14ADrFmWCD6QWMyczofUwq5N%2Fxtl3Oii0q8p2DGYHm%2F6IczYi7TbQouC%2FV7iUQwGWgUqZ15iZCKt6ftBBnzTMZ98XWfJGRHnH80NFS2qn9geXqn5r3L1zl%2BYNzgDcQ5tb47Fn%2B7xyvz6Jed0D3sQkHlsdOKd%2FGcPbsqcds8%2Bu84sQ3unM5N8XDySdZmSyzw%3D%3D%7Ctkp%3ABk9SR_SEhIi2ZQ,https://i.ebayimg.com/images/g/8IMAAOSwiO9kfgKb/s-l500.webp,63
phones,NEW UNLOCKED SAMSUNG GALAXY NOTE 20 5G SM-N981U 128GB ALL COLORS/MEMORY GSM+CDMA,https://www.ebay.com/itm/195547073395?_skw=phones&epid=9040080100&itmmeta=01JPR8103N7AGBW7FY2DKM90Q2&hash=item2d87838b73:g:FIQAAOSwryVjt9q~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cjGlhe8ISBFqKyZyXXB5nvH4NWHifRZYunirx3wK9e8r224yAWH49x0p2VGh0ZxlaPmJNiUcF%2Bz39OFPOnH7KwfTYZVoM6GUuOTyURNuPpJNze49E9TYdOE0PpW5GX0X4RRlAasdB5kjhqUmQQvJ9F1SfrcJztxzIpw7WFN5KjUZ1eVpOyLBu5SGretKS8Y54eX6QMTfkHnqsXm62F21nRL8TzaJb4YoYeWpXHtByN8BHjnZ6YjEtt9jslO8T4CsfFz3XrgCTxObpxQhkLE%2FFz%7Ctkp%3ABk9SR_SEhIi2ZQ,https://i.ebayimg.com/images/g/FIQAAOSwryVjt9q~/s-l500.webp,108
phones,Motorola Razr 2019 eSIM 6GB RAM 128GB ROM Android Unlocked GSM Flip Smartphone,https://www.ebay.com/itm/256608806876?_skw=phones&epid=21035384481&itmmeta=01JPR8103NVSHK315PKSCMKCKQ&hash=item3bbf13a7dc:g:AWcAAOSwARZhzHaN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eXzFAqrUtx%2BMTsN7kPj5UF4MR5107DgHsOUlrg0ZggHdmpYEBIQqLzOnzAZch%2FyZS5S21u4fEBO1yaEyUJVZP3ZMIIOpYgEb%2FXu%2BfFiUilQPQtZJCntqGe6YHUC%2BncfHDzqmiBlLGf7OJLyRbuLsUfrKO%2BGzvl%2B4kirF3q8DmD%2BlwIuRbGiaqaJQUWnXbwcaNze3wEToNvpilqgX2zFlII744pkpHTjNg4G3VD1jicTHxtSQTzk6ui3vxsY0bN8xMT0N8ksUjVCQXtBCgAgBJ2%7Ctkp%3ABk9SR_SEhIi2ZQ,https://i.ebayimg.com/images/g/AWcAAOSwARZhzHaN/s-l500.webp,3
phones,Nokia 6600 Light gray Unlocked 2G GSM Unlocking Bluetooth Classics Mobile Phone,https://www.ebay.com/itm/145194140318?_skw=phones&epid=113285607&itmmeta=01JPR8103NQ8S8JWPRFSMVP5SJ&hash=item21ce3ec29e:g:cYcAAOSwug1ktRXx&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d0oGv1pr5R1TCQqtba6ZGk9pndZgMImsOeJI81pMLekXOwnncGea5dNL9DiXQCYoJySCSx%2Bw%2BbumObh2k14SHuyV%2FXX37MaiOTQXnvyINmw5JfOlnz1x1hurstT76iw2eQu0WEfPBEXDbn%2BhrXiw%2BafOsqeezEqmrjNBviRD5jaYVHUZoHZ3URykPFvX3bH7%2B3801mnr4akhUCi3NT0ywRczk67S4aH%2BA6gCy0lSHBQw%3D%3D%7Ctkp%3ABk9SR_aEhIi2ZQ,https://i.ebayimg.com/images/g/cYcAAOSwug1ktRXx/s-l500.webp,12
watches,Citizen Eco-Drive Brycen Chronograph Stainless Steel Men's Watch BL5450-54H NWT,https://www.ebay.com/itm/364865847309?_skw=watches&epid=18070416792&itmmeta=01JPR81BPS5VTFCHVA0MMZ07KN&hash=item54f3b3000d:g:jyMAAOSwYPhmLr8v&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fc9YzFaWCvNOXiNvogtjtV9vzn2XBHifIkinwcPUns%2BEL1snZe8EIMnV0R%2FNUJAQLAiPWFNgSk5%2B4VMc%2B0KTHP48ORQJ6bmOxLho9t7eEf4l74ZqcUpvhRHhGIv1KMc5tpplBMKz4Q8wCSrhfDUkSq7OefwsmZZErCi7iPQ8F3wRb6MPNwqAoPNY7sjPtcDYajAGCy0CM4SofHk%2B3xU4Ja3PNwL6a7ViCFh3fgkHryD9kLM3%2FXkBy5BA5lfgS5MuhrWK%2BeU2kUItTNBrSxT5qx%7Ctkp%3ABFBM5LuFiLZl,https://i.ebayimg.com/images/g/jyMAAOSwYPhmLr8v/s-l500.webp,2
watches,*ICED OUT* Cartier Santos Watch 41mm CZ Diamonds,https://www.ebay.com/itm/286421635070?_skw=watches&epid=15051634486&itmmeta=01JPR81BPTGH7NGQ4JSM7Z01WY&hash=item42b00f4ffe:g:xccAAeSwXwZn03aO&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dwc7djbTScoe%2FgVXeYILs9INtd6xycfMFrtVl4ijMM6N4jRZR9dEvC%2FmnPh9NBRzzSr4nCWgBz7TAixExh5P6MarQFdzAT%2Fwl7R0cD93TEaVVh8es0Gcts31tpSYs7b7CYTdY2pNNq7lPpNz8TSLgBY8h2LfEXqin%2FXabMyhKG1uE3JMrPlaFPaBlTVG9j4JgSz%2FuvwrE9txhJEjOflB3WiBYTCLMCURCrQ2p8BBFMAA%3D%3D%7Ctkp%3ABk9SR-S7hYi2ZQ,https://i.ebayimg.com/images/g/xccAAeSwXwZn03aO/s-l500.webp,1
